Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(mm/s^2),AccY(mm/s^2),AccZ(mm/s^2),Altitude(m),,30 second flight 25/02/16. Flat trim and calibrate before takeoff
14027,0.01335177,-0.003385939,0.06194174,-0.005211202,0.09651985,0,-0.324151,56.37784,-993.8109,0.646,,
14104,0.01021018,-0.000628319,0.06195919,0.005382372,0.1192688,0,-7.035375,46.54085,-999.9259,0.654,,
14182,0.009459685,0.000837758,0.06201155,-0.005744543,0.1330997,0,-10.55152,53.49028,-986.0856,0.658,,
14260,0.005550147,0.004712389,0.06220353,0.02940518,0.0787627,0,-18.22156,41.19687,-972.4551,0.667,,
14338,-0.002600541,0.005916666,0.06269222,0.01578962,0.1211807,0,-19.38933,46.48319,-979.6853,0.674,,
14416,-0.01504474,0.008028515,0.06218608,0.02283042,0.1001492,0,-20.87714,32.48577,-971.1879,0.68,,
14494,-0.02185152,0.008901179,0.06154031,-0.004068007,0.1000868,0,-4.562064,34.96204,-978.5991,0.683,,
14572,-0.01747075,0.008569567,0.06080727,-0.01097785,0.07233698,0,-12.45829,43.6948,-983.8669,0.687,,
14650,-0.008831366,0.008691739,0.06002187,0.00538067,0.04922084,0,-13.41644,44.03598,-988.5381,0.692,,
14728,-0.004031711,0.006928958,0.05871288,-0.01689258,0.07300474,0,-15.66753,47.21166,-985.87,0.695,,
14806,-0.007539823,0.00397935,0.05742133,-0.0151013,0.03216522,0,-15.04005,47.73407,-986.3109,0.699,,
14886,-0.007086037,0.002373648,0.05640904,-0.0162392,-0.03088387,0,-9.081665,40.97141,-994.063,0.703,,
14962,-0.000523599,0.00148353,0.05546656,-0.02176635,0.01570388,0,-18.13158,43.42754,-991.5513,0.706,,
15040,0.01143191,-0.001675516,0.05462881,-0.01698359,0.02592927,0,-5.807903,54.87923,-999.4276,0.71,,
15118,0.0209265,-0.002495821,0.05499532,-0.01384686,0.009252695,0,-1.841366,57.48353,-1016.716,0.713,,
15196,0.02631957,-0.000663225,0.05609488,-0.009649784,0.009958906,0,-19.30617,58.09534,-1012.372,0.719,,
15274,0.02672099,0.001605703,0.05752605,0.009513147,0.05141118,0,-7.187075,52.93516,-1010.203,0.721,,
15353,0.02050762,0.003089233,0.0593412,-0.01607926,-0.004381109,0,-6.349899,46.10411,-998.27,0.728,,
15430,0.01263618,0.002338741,0.06014405,-0.01490529,-0.01027659,0,-13.75942,50.37672,-983.7385,0.735,,
15509,0.009424779,0.000610865,0.06143559,0.02995124,-0.07923473,0,-14.97003,55.0162,-974.6133,0.743,,
15586,0.006248279,0.000680678,0.06220353,0.02071495,-0.04468166,0,-10.95189,47.13016,-970.4434,0.75,,
15665,0.003403392,0.001047197,0.06222099,0.007582214,-0.05292629,0,-7.836172,44.36078,-976.7897,0.754,,
15749,0.00132645,0.000994838,0.06199409,0.009837954,-0.09819569,0,-14.44176,44.70012,-969.2085,0.756,,
15820,-0.007609635,0.007365289,0.0617672,-0.007556303,0.03330635,0,-11.23849,38.83364,-966.3929,0.764,,
15898,-0.0153938,0.01022763,0.06105161,-0.02161648,0.07328522,0,-13.5024,54.18433,-971.2876,0.768,,
15976,-0.03008948,0.01127483,0.0601964,-0.03480146,0.04840039,0,-5.50317,45.17295,-974.9241,0.768,,
16054,-0.04443608,0.01089085,0.05958554,-0.01691063,-0.08475337,0,-6.549043,48.70478,-982.7452,0.772,,
16132,-0.05476843,0.01045452,0.05953318,-0.0150742,-0.04743703,0,-7.703931,40.80436,-967.9473,0.773,,
16210,-0.05850344,0.009285152,0.05874778,-0.01969863,-0.139343,0,-10.49388,54.93697,-996.4426,0.77,,
