Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(g x 10^3),AccY(g x 10^3),AccZ(g x 10^3),Altitude(m),,,,First odometry csv sampled at 200HZ which is 5ms
1342,-0.01073377,0.006230825,0.06276204,0,0,0,0,0,0,0,,,,
1347,-0.01073377,0.006230825,0.06276204,0,0,0,0,0,0,0,,,,
1352,-0.01073377,0.006230825,0.06276204,0,0,0,0,0,0,0,,,,
1357,-0.01073377,0.006230825,0.06276204,0,0,0,0,0,0,0,,,,
1362,-0.01073377,0.006230825,0.06276204,0,0,0,0,0,0,0,,,,
1367,-0.01073377,0.006230825,0.06276204,0,0,0,0,0,0,0,,,,
1372,-0.01048943,0.006161012,0.06279695,0,0,0,0,0,0,0,,,,
1377,-0.01048943,0.006161012,0.06279695,0,0,0,0,0,0,0,,,,
1382,-0.01048943,0.006161012,0.06279695,0,0,0,0,0,0,0,,,,
1387,-0.01048943,0.006161012,0.06279695,0,0,0,0,0,0,0,,,,
1392,-0.01048943,0.006161012,0.06279695,0,0,0,0,0,0,0,,,,
1397,-0.01048943,0.006161012,0.06279695,0,0,0,0,0,0,0,,,,
1402,-0.01048943,0.006161012,0.06279695,0,0,0,0,0,0,0,,,,
1407,-0.01048943,0.006161012,0.06279695,0,0,0,0,0,0,0,,,,
1412,-0.01048943,0.006161012,0.06279695,0,0,0,0,0,0,0,,,,
1417,-0.01048943,0.006161012,0.06279695,0,0,0,0,0,0,0,,,,
1423,-0.01048943,0.006161012,0.06279695,0,0,0,0,0,0,0,,,,
1428,-0.01048943,0.006161012,0.06279695,0,0,0,0,0,0,0,,,,
1433,-0.01048943,0.006161012,0.06279695,0,0,0,0,0,0,0,,,,
1438,-0.01048943,0.006161012,0.06279695,0,0,0,0,0,0,0,,,,
1443,-0.01048943,0.006161012,0.06279695,0,0,0,0,0,0,0,,,,
1448,-0.01048943,0.006161012,0.06279695,0,0,0,0,0,0,0,,,,
1453,-0.01048943,0.006161012,0.06279695,0,0,0,0,0,0,0,,,,
1458,-0.01048943,0.006161012,0.06279695,0,0,0,0,0,0,0,,,,
1463,-0.01048943,0.006161012,0.06279695,0,0,0,0,0,0,0,,,,
1468,-0.01048943,0.006161012,0.06279695,0,0,0,0,0,0,0,,,,
1473,-0.01048943,0.006161012,0.06279695,0,0,0,0,0,0,0,,,,
1478,-0.01048943,0.006161012,0.06279695,0,0,0,0,0,0,0,,,,
1483,-0.01048943,0.006161012,0.06279695,0,0,0,0,0,0,0,,,,
1488,-0.01048943,0.006161012,0.06279695,0,0,0,0,0,0,0,,,,
1493,-0.01048943,0.006161012,0.06279695,0,0,0,0,0,0,0,,,,
1498,-0.01021018,0.006091199,0.06291912,0,0,0,0,0,0,0,,,,
1504,-0.01021018,0.006091199,0.06291912,0,0,0,0,0,0,0,,,,
1510,-0.01021018,0.006091199,0.06291912,0,0,0,0,0,0,0,,,,
1515,-0.01021018,0.006091199,0.06291912,0,0,0,0,0,0,0,,,,
1520,-0.01021018,0.006091199,0.06291912,0,0,0,0,0,0,0,,,,
1525,-0.01021018,0.006091199,0.06291912,0,0,0,0,0,0,0,,,,
1530,-0.01021018,0.006091199,0.06291912,0,0,0,0,0,0,0,,,,
1535,-0.01021018,0.006091199,0.06291912,0,0,0,0,0,0,0,,,,
1541,-0.01021018,0.006091199,0.06291912,0,0,0,0,0,0,0,,,,
1546,-0.01021018,0.006091199,0.06291912,0,0,0,0,0,0,0,,,,
1551,-0.01021018,0.006091199,0.06291912,0,0,0,0,0,0,0,,,,
1556,-0.01021018,0.006091199,0.06291912,0,0,0,0,0,0,0,,,,
1561,-0.01027999,0.005986479,0.06297148,0,0,0,0,0,0,0,,,,
1566,-0.01027999,0.005986479,0.06297148,0,0,0,0,0,0,0,,,,
1571,-0.01027999,0.005986479,0.06297148,0,0,0,0,0,0,0,,,,
1576,-0.01027999,0.005986479,0.06297148,0,0,0,0,0,0,0,,,,
1581,-0.01027999,0.005986479,0.06297148,0,0,0,0,0,0,0,,,,
1586,-0.01027999,0.005986479,0.06297148,0,0,0,0,0,0,0,,,,
1591,-0.01027999,0.005986479,0.06297148,0,0,0,0,0,0,0,,,,
1596,-0.01027999,0.005986479,0.06297148,0,0,0,0,0,0,0,,,,
1601,-0.01027999,0.005986479,0.06297148,0,0,0,0,0,0,0,,,,
1606,-0.01027999,0.005986479,0.06297148,0,0,0,0,0,0,0,,,,
1611,-0.01027999,0.005986479,0.06297148,0,0,0,0,0,0,0,,,,
1616,-0.01027999,0.005986479,0.06297148,0,0,0,0,0,0,0,,,,
1621,-0.01027999,0.005986479,0.06297148,0,0,0,0,0,0,0,,,,
1626,-0.01027999,0.005986479,0.06297148,0,0,0,0,0,0,0,,,,
1631,-0.01036726,0.005951573,0.06304129,0,0,0,0,0,0,0,,,,
1636,-0.01036726,0.005951573,0.06304129,0,0,0,0,0,0,0,,,,
1641,-0.01036726,0.005951573,0.06304129,0,0,0,0,0,0,0,,,,
1646,-0.01036726,0.005951573,0.06304129,0,0,0,0,0,0,0,,,,
1651,-0.01036726,0.005951573,0.06304129,0,0,0,0,0,0,0,,,,
1656,-0.01036726,0.005951573,0.06304129,0,0,0,0,0,0,0,,,,
