Time(ms),Roll(Rads),Pitch(Rads),Yaw(Rads),VelX(m/s),VelY(m/s),VelZ(m/s),AccX(g x 10^-3),AccY(g x 10^-3),AccZ(g x 10^-3),Altitude(m)
1050,0,0.0003316125,0.004049164,0,0,0,-0.9107851,28.84569,-981.0513,0
1055,0,0.0003141593,0.004049164,0,0,0,-0.8531273,30.37504,-981.0566,0
1060,0,0.0003141593,0.004049164,0,0,0,-0.8917983,29.37663,-981.0527,0
1065,0,0.0003141593,0.004049164,0,0,0,-0.8917983,29.37663,-981.0527,0
1070,0,0.0003141593,0.004066617,0,0,0,-0.8553215,29.85449,-981.0547,0
1075,1.745329E-05,0.000296706,0.004066617,0,0,0,-0.8223678,29.33382,-981.0522,0
1080,1.745329E-05,0.000296706,0.004066617,0,0,0,-0.7849257,29.69469,-981.0547,0
1085,1.745329E-05,0.000296706,0.004066617,0,0,0,-0.7239977,30.9506,-981.0571,0
1090,1.745329E-05,0.0003141593,0.004049164,0,0,0,-0.6452092,33.05241,-981.061,0
1095,1.745329E-05,0.0003141593,0.004049164,0,0,0,-0.6452092,33.05241,-981.061,0
1100,0,0.0003141593,0.004049164,0,0,0,-0.5365137,36.26046,-981.0708,0
1105,-3.490658E-05,0.0003141593,0.004049164,0,0,0,-0.5973654,37.06438,-979.5586,0
1110,-3.490658E-05,0.0003316125,0.004049164,0,0,0,-0.7629395,34.41779,-977.6973,0
1115,-3.490658E-05,0.0003316125,0.004049164,0,0,0,-1.011982,29.79735,-974.248,0
1120,-3.490658E-05,0.0003316125,0.004049164,0,0,0,-1.011982,29.79735,-974.248,0
1125,-1.745329E-05,0.0003141593,0.004049164,0,0,0,-1.011832,29.44475,-975.4355,0
1130,-1.745329E-05,0.0003141593,0.004049164,0,0,0,-0.8824646,31.31439,-978.041,0
1135,-1.745329E-05,0.0003141593,0.004049164,0,0,0,-0.8824646,31.31439,-978.041,0
1140,-1.745329E-05,0.0003141593,0.004049164,0,0,0,-0.8824646,31.31439,-978.041,0
1145,-1.745329E-05,0.0003141593,0.004049164,0,0,0,-0.8824646,31.31439,-978.041,0
1150,-1.745329E-05,0.0003141593,0.004049164,0,0,0,-0.8824646,31.31439,-978.041,0
1155,-1.745329E-05,0.0003141593,0.004049164,0,0,0,-0.8824646,31.31439,-978.041,0
1160,-1.745329E-05,0.0003141593,0.004049164,0,0,0,-0.8824646,31.31439,-978.041,0
1166,-1.745329E-05,0.0003141593,0.004049164,0,0,0,-0.8824646,31.31439,-978.041,0
1171,-3.490658E-05,0.0003316125,0.004066617,-7.710088E-05,-6.877943E-05,0,-0.8495932,29.25412,-978.9531,0
1176,-3.490658E-05,0.0003316125,0.00408407,-9.648396E-05,-6.230867E-05,0,-0.9425962,28.95269,-975.8032,0
1181,-3.490658E-05,0.0003316125,0.004066617,-0.0001054469,-6.826568E-05,0,-0.9376321,29.22804,-977.9761,0
1186,-3.490658E-05,0.0003316125,0.004066617,-0.0001127743,-6.465003E-05,0,-0.911492,29.5935,-981.0381,0
1191,-5.235988E-05,0.0003316125,0.004049164,-0.0001191955,-6.941169E-05,0,-0.9115055,29.24035,-982.7544,0
1196,-5.235988E-05,0.0003316125,0.004049164,-0.0001240274,-6.038139E-05,0,-0.8731788,29.80879,-982.4512,0
1201,-5.235988E-05,0.0003316125,0.004049164,-0.0001240274,-6.038139E-05,0,-0.8731788,29.80879,-982.4512,0
1206,-5.235988E-05,0.0003316125,0.004049164,-0.0001317774,-6.216257E-05,0,-0.8474625,29.46015,-980.2949,0
1211,-5.235988E-05,0.0003316125,0.004049164,-0.000134049,-5.931576E-05,0,-0.8153381,29.57158,-980.5815,0
1216,-5.235988E-05,0.0003316125,0.004049164,-0.000134049,-5.931576E-05,0,-0.8153381,29.57158,-980.5815,0
1221,-5.235988E-05,0.0003316125,0.004049164,-0.0001355724,-2.330095E-05,0,-0.726496,31.09743,-981.3633,0
1226,-6.981317E-05,0.0003316125,0.004049164,-0.0001354678,1.303964E-05,0,-0.7261962,31.2872,-981.0752,0
1231,-8.726646E-05,0.0003316125,0.004066617,-0.0001342013,8.066897E-05,0,-0.6687396,32.90569,-980.9268,0
1236,-8.726646E-05,0.0003316125,0.004066617,-0.0001351785,9.597211E-05,0,-0.7544951,31.13591,-980.8877,0
1241,-0.0001047198,0.0003316125,0.004066617,-0.0001374177,8.095631E-05,0,-0.8110957,29.97655,-981.125,0
1246,-0.0001047198,0.0003316125,0.004066617,-0.0001407498,4.046084E-05,0,-0.8678043,28.82605,-981.1206,0
1251,-8.726646E-05,0.0003316125,0.004066617,-0.0001441994,-1.140921E-05,0,-0.8924494,28.10887,-982.5859,0
1256,-0.0001047198,0.0003316125,0.004066617,-0.0001437316,2.35542E-05,0,-0.7385924,31.51618,-984.417,0
1261,-0.0001047198,0.0003316125,0.004066617,-0.0001434994,4.014548E-05,0,-0.7389073,30.96227,-987.8105,0
